,date,aave_priceChange,bal_priceChange,link_priceChange,crv_priceChange,dai_priceChange,gno_priceChange,rai_priceChange,grt_priceChange,uni_priceChange,yfi_priceChange
364,2022-04-02,0.991849303643452,0.978163650041436,1.0391514883082835,1.067325941826797,1.0191108364692865,0.9971417120190836,1.0162929423741975,1.0162929805599856,1.0434942942009835,1.0207494131198631
363,2022-04-01,1.1362310381638607,0.998956847779364,0.9714217483296278,1.012718383947764,0.955464102844345,0.9844030483341706,0.9586000448692849,0.9673852338755676,0.975385120161056,0.9987605017493072
362,2022-03-31,0.9443031384277248,0.958906559296458,1.0064240260138744,0.9534096810893964,1.0248693939379785,0.9240127353144836,1.020384075497237,0.9916582465906324,0.9852593746094264,0.950195962738384
361,2022-03-30,1.050497822144605,1.1663758978756495,1.0361518439000788,1.025740910998407,1.0165949269489585,0.9978662825368362,1.0170089464545329,1.0098815699145582,1.065210542971715,1.0529450500092377
360,2022-03-29,1.277890599387012,1.0408699393367609,1.020172824383445,1.0798377587473271,1.0021816448984848,1.0404648813528845,1.002059738055335,1.0059886756423275,1.0162999079202482,1.039465799130214
359,2022-03-28,1.048180930792237,1.041016649659407,1.0290741745571383,1.0440342134726182,1.035802917552904,1.1830988980250126,1.0344919610712815,0.8674407493273518,1.0159814673272105,1.050872124776208
358,2022-03-27,0.9854724359832676,1.0359206897781283,1.0134171922790531,1.030040941743554,0.957121574886938,1.1334433629470269,0.9580122527994056,1.0040392274765533,1.0226850390507043,1.0035109587085822
357,2022-03-26,1.0095535994813976,1.0304027994377418,1.0225846928822202,1.0593680372740737,1.005426142987346,1.0107355974494132,1.0072298255222982,1.0090057660320462,1.0031340951744976,1.0327176807121032
356,2022-03-25,0.9891269139251586,0.9918119293384928,0.9770190727132848,0.9755279459126864,1.0192605837020603,1.0169286557067758,1.0197620639507177,1.026492614281432,1.0083816765947513,0.9841957575781252
355,2022-03-24,1.0520357902140929,0.9917563552184064,1.0093849024691783,0.9794312406128118,0.9784198195347168,1.0152218577725889,0.9786388416987928,0.99582458179189,1.0538655061265103,1.0220142610403284
354,2022-03-23,1.0431962819352674,1.091149457338015,1.0420520129638278,1.0806292520546237,1.0265020504697635,1.0196602102699983,1.0255370357229114,1.0675341502873177,1.0440216149675847,1.0302783123221957
353,2022-03-22,0.9530986309732106,0.9627092233704168,0.9948812720506706,0.9922186499982,0.965153235990336,0.9961543335768586,0.9676218890590806,0.9946360045343796,1.0115867794102598,0.9646866278585272
352,2022-03-21,0.9863275987707124,0.9984806121033688,1.0095043252092528,1.002022020837419,0.98471766793724,1.003256649660493,0.982522364806494,0.9782312466246988,0.9765497277445332,1.000177720816522
351,2022-03-20,1.0138015512130545,0.9786675197031564,1.00737461763466,0.9772725640018438,1.0270144095575928,0.9964518845842198,1.0275884609535746,1.0087129891480464,0.9955493884178048,0.9921540813978628
350,2022-03-19,0.9832151790000252,1.0594133768859104,1.0078357510169205,1.0295506839803692,1.0114201444176627,1.0154109044869049,1.0107838229363169,1.020382182321798,1.0158308157610236,1.020027997730825
349,2022-03-18,1.0138135652153424,1.0081983264186107,1.0146901493592704,1.02677105365438,0.975616236840987,1.0251638635234246,0.9752422547732852,0.9960177902259776,1.0237257538477906,1.0318002022471495
348,2022-03-17,1.1594944746354148,1.0520245765915557,1.0362625351083852,1.07207022662249,1.049633399809388,1.0651719444702783,1.050036813799908,1.046623582491894,1.0643894161850722,1.0654480338790644
347,2022-03-16,1.0965631797534163,0.9720520700600696,1.0090851159714689,1.0058049935450086,0.9527389009683662,0.995164437445392,0.9489371437159206,0.9914902712197412,0.9885371361611842,0.9809433054191932
346,2022-03-15,1.0869929835004335,1.0756639543985311,1.0851783915822797,1.0614079976684925,1.0525702497285103,1.0264920183060808,1.055549787867909,1.0479993816440434,1.0846638639648551,1.0570074179082838
345,2022-03-14,0.9452909581417016,0.963907634973878,0.9756692657381228,0.948140549333588,0.9266828633493236,0.9524769849188544,0.9275388900142988,0.972980185018128,0.964064140027012,0.9517036735950242
344,2022-03-13,0.9968001585077324,1.003888228615342,0.997209404653694,0.9948485384159954,1.0349733493582418,1.011220705399036,1.035913048824489,1.003314506353217,0.9944774983746124,1.0146064557961731
343,2022-03-12,1.0075989341091296,0.9708801889748612,0.9877764902846188,0.9832087783788924,0.9809086128605066,0.981897609925568,0.9807932455842576,0.9824370428371576,0.9714299554750764,0.9735049782739325
342,2022-03-11,0.936686674239028,0.9288140268363144,0.9457371772016938,0.92692873787658,0.954891680503714,0.9352041990322,0.9532873109387388,0.940035352787686,0.94260067922934,0.930459328690186
341,2022-03-10,1.078329390333863,1.0893489932509075,1.0884434056347465,1.0892611788168085,1.1522776835823154,1.101672266148327,1.1508357445707444,1.0839878464655277,1.089687616312102,1.0784424896152287
340,2022-03-09,0.98343204120221,0.9898119689868228,1.004670797128884,0.9972524133381176,0.9384148815222686,0.9827552653433655,0.9408363202555065,1.0172401379558615,0.9760917871473797,0.9912214066022204
339,2022-03-08,1.0084746641502782,1.0008855065985942,1.0015659435989064,0.991790917770792,0.9802123154024668,1.0020150230288345,0.979543601677346,0.9904664253556192,1.0296785027595243,1.0195972162889513
338,2022-03-07,0.9863279441739496,0.9699008785454796,0.9343387419293808,0.9445582743578088,0.978652236737031,0.938217122007149,0.9740256924832276,0.9741491484497706,0.9648636229701076,0.98993441438758
337,2022-03-06,0.9716136873176044,0.9884107496734488,0.9863523540226532,0.9537114890199092,1.029711016252126,1.0048449902312306,1.034771245739885,1.0067052699651895,0.9765304579091028,0.9300271989200204
