,date,aave,aave_priceChange,bal,bal_priceChange,link,link_priceChange,crv,crv_priceChange,dai,dai_priceChange,gno,gno_priceChange,rai,rai_priceChange,grt,grt_priceChange,uni,uni_priceChange,yfi,yfi_priceChange
122,2021-12-02,247.24152,0.9619409268253967,20.283693,0.9855781457614591,24.853241,0.9805038525028467,4.8033705,0.9805291084654676,1.0107545,1.0124757492727938,467.22925,1.0535237984515071,3.0419822,1.012669360121047,3.6449459,1.0520613275710113,22.681948,1.0727887562853613,29118.303,1.0086506183956727
121,2021-12-03,238.7158,0.9655166332903955,20.057047,0.9888261964919308,24.613306,0.9903459271167089,4.6235065,0.9625546270061826,1.0555745,1.0443431120019748,449.50522,0.9620656669076263,3.17859,1.0449074948564787,3.6029675,0.9884831212446802,21.125051,0.9313596433604381,29099.99,0.9993710828546568
120,2021-12-04,220.18523,0.9223739274903462,17.911802,0.8930428292858864,22.519648,0.9149379607924266,4.093112,0.8852830638391012,1.0940065,1.0364086097191625,449.7357,1.0005127415428012,3.2911637,1.0354162380174858,3.4293935,0.9518247111582328,18.730965,0.8866707588066889,26955.81,0.9263168131672898
119,2021-12-05,191.45892,0.8695357086394941,15.731346,0.8782670777624718,19.312305,0.8575757933694167,3.5612948,0.8700702057505391,0.99897164,0.9131313570806023,421.62012,0.9374842157293717,3.0155964,0.9162705580400028,3.1345687,0.9140300464207446,16.45501,0.8784923787962874,23698.535,0.8791624143366494
118,2021-12-06,180.47878,0.9426501517923531,15.65949,0.9954323043940423,19.32408,1.0006097148942086,3.6246812,1.0177986950139595,0.97650105,0.9775062783564106,421.19168,0.9989838245859805,2.943791,0.9761886570762586,3.2507336,1.0370592930376672,16.931602,1.0289633370019222,23236.498,0.9805035627729731
117,2021-12-07,186.51054,1.0334208819452346,15.781355,1.0077821819229107,20.573185,1.064639817264263,4.130785,1.1396271208623812,1.0031762,1.027317072521325,428.65698,1.0177242342488815,3.0181072,1.0252450666504518,3.329455,1.0242165030071981,17.099916,1.0099408195396986,22204.57,0.9555902098500385
116,2021-12-08,200.90712,1.0771890961229322,16.334885,1.0350749349469675,22.744347,1.1055335865593978,4.1946397,1.015458248250635,1.0048497,1.0016682014585276,444.94025,1.037986713758866,3.0221462,1.0013382559771236,3.3417327,1.003687600523209,18.650496,1.0906776384164694,23095.855,1.0401397099786216
115,2021-12-09,188.29669,0.9372325381001929,16.424925,1.0055121294089309,21.632595,0.9511196342546127,3.9054992,0.931069049863806,1.0530547,1.0479723485014723,478.06967,1.0744581322997864,3.1743233,1.0503539835366007,3.3339994,0.9976858412403841,17.19905,0.9221765469400921,22196.062,0.9610409313705859
114,2021-12-10,170.87785,0.9074925852387526,15.119006,0.920491630859806,18.86799,0.8722018786927782,3.426234,0.8772845222961511,1.0051244,0.9544845106336831,424.14142,0.8871958348664956,3.0148947,0.9497755631885385,3.1595097,0.9476635478698646,15.471924,0.899580151229283,20405.83,0.9193446116703043
113,2021-12-11,173.13199,1.0131915283344213,14.623424,0.9672212577996199,19.12625,1.0136877325035683,3.5960166,1.049553708240593,0.95931625,0.9544253925185778,437.9288,1.0325065634947892,2.88126,0.9556751683566262,4.1646056,1.3181176813604971,15.244045,0.9852714504026778,20657.645,1.0123403458717435
112,2021-12-12,177.06252,1.0227025057587567,14.989356,1.025023688022723,20.102678,1.0510517221096662,3.7640817,1.0467364638973025,0.9818915,1.0235326462988614,436.38132,0.9964663662220891,2.9629092,1.0283380187834488,4.335292,1.0409850094808497,15.72799,1.0317464951067779,21353.646,1.0336921754633697
111,2021-12-13,173.50406,0.9799028049527365,14.624926,0.9756874144559646,19.011902,0.9457397666121896,3.5701435,0.9484766231296201,1.06809,1.0877882128524383,390.61963,0.8951337101230639,3.2222884,1.0875420684508321,4.406589,1.016445720380542,15.142453,0.9627710215990727,20926.486,0.9799959220078857
110,2021-12-14,163.62524,0.9430628885571899,13.546132,0.9262359344587453,17.795961,0.9360431691684503,3.2902217,0.9215936838393191,0.9689483,0.9071785149191548,387.08853,0.9909602597288826,2.9217877,0.9067430773732108,3.0514553,0.6924755859917955,14.45344,0.9544979271192059,19441.553,0.9290404992027805
109,2021-12-15,171.66823,1.0491549469996193,14.749731,1.088851858227869,19.51914,1.0968297806451701,3.6961467,1.1233731453415434,0.9914484,1.023221156381615,452.4587,1.1688765358146882,2.9859638,1.0219646690962523,3.1394253,1.0288288673276649,15.076502,1.0431082150685234,20455.174,1.052136832896014
108,2021-12-16,179.01398,1.042790387015699,15.295217,1.03698277616046,19.297274,0.9886334131524238,3.975631,1.0756150452578086,1.0266954,1.0355510180862664,463.8461,1.025167821947064,3.0952566,1.0366021851972886,3.1735556,1.0108715120566811,14.806336,0.9820803260597186,25225.168,1.2331925409189872
107,2021-12-17,187.37178,1.0466879737548989,16.901987,1.1050504873516995,18.814539,0.9749842905272527,4.418898,1.1114960115765273,1.0306787,1.0038797290803094,458.32156,0.9880897133769153,3.1025293,1.002349627491304,3.0929904,0.9746135848384065,15.4139185,1.0410353040752283,34337.992,1.3612591995422982
106,2021-12-18,190.16539,1.014909449010945,17.85508,1.0563894055769893,19.328794,1.0273328514719386,4.46238,1.0098400098848173,0.9881911,0.9587770660245526,446.50485,0.9742174249886913,2.9798615,0.9604620011163151,3.0044158,0.9713627950477958,15.399658,0.9990748296742324,30818.553,0.8975059753057197
105,2021-12-19,184.69942,0.9712567570786672,17.63397,0.9876164094476194,19.02945,0.9845130534269237,4.181744,0.9371106898112668,0.99999255,1.0119424775228192,450.40292,1.0087301851256487,3.0225234,1.0143167392175776,3.0460083,1.0138437895313959,15.040282,0.9766633778490404,32044.898,1.039792426334877
104,2021-12-20,179.95811,0.9743295891237774,18.086243,1.0256478263261193,18.808943,0.9884123293106211,4.1293173,0.98746295803856,0.9988624,0.9988698415803199,458.0388,1.016953442486563,3.014374,0.9973037760435536,3.0354369,0.9965294250839698,14.479291,0.9627007658500021,37123.145,1.1584728714068615
103,2021-12-21,178.61823,0.99255448948647,17.814468,0.9849733855726699,18.70875,0.9946731190583117,4.4285274,1.072459943923418,0.9597735,0.9608665818234823,437.52148,0.9552061528412004,2.8986382,0.9616053615112127,3.055538,1.0066221439160865,14.457854,0.9985194717061767,33297.07,0.8969355909904725
102,2021-12-22,208.38654,1.1666588567135616,18.105099,1.0163143238405996,20.181484,1.0787189951226033,5.055077,1.141480348523981,1.0084598,1.0507268642028562,450.16925,1.0289077692825503,3.043072,1.0498281572360426,3.1870673,1.0430462000472585,16.325058,1.129148074119437,31860.344,0.9568512785058866
101,2021-12-23,236.64647,1.1356130295171656,18.386335,1.01553352456123,21.294138,1.0551324174178667,4.9818773,0.9855195677533696,0.9624414,0.9543676406337664,435.14392,0.9666229312641856,2.9058514,0.9549072121855808,3.1618197,0.9920781089247787,17.44681,1.0687135077866186,30401.578,0.9542137398139832
100,2021-12-24,269.8654,1.1403736552672856,18.348652,0.99795048877332,21.527906,1.0109780447557914,5.1740475,1.0385738524712362,1.0037601,1.0429311332617237,448.68277,1.0311134991843618,3.0280776,1.0420620958112312,3.3009048,1.043988940925379,17.504211,1.0032900570362149,32693.355,1.075383488317613
99,2021-12-25,266.26813,0.9866701325920254,18.427824,1.0043148673809934,22.296894,1.0357205201471986,5.8852806,1.1374616487382458,1.0050522,1.0012872597745217,458.32574,1.0214917323435442,3.0329678,1.001614952007835,3.3001337,0.9997663973829236,17.574928,1.0040399992893139,31465.04,0.9624292153558422
98,2021-12-26,267.945,1.0062976744531913,18.107637,0.9826248069224016,22.990585,1.0311115530261747,5.6981225,0.9681989504459653,0.99705744,0.9920454280882127,473.69653,1.0335368247046304,3.0094113,0.9922331849352307,3.2855272,0.9955739672001774,18.584888,1.0574659537723283,31065.723,0.9873091850510917
97,2021-12-27,278.92032,1.0409610927615742,18.2694,1.0089334130124212,23.143137,1.0066354118435872,5.3339567,0.9360902121707633,1.0002757,1.0032277578712014,462.53574,0.9764389449929051,3.0232027,1.0045827567670793,4.001103,1.2177963402646612,19.161356,1.0310181046019757,31939.816,1.028136895445826
96,2021-12-28,271.4346,0.9731617976058539,17.575443,0.9620153371210877,21.912056,0.9468057852312761,5.1048245,0.957042733399017,1.0642245,1.0639311741752797,454.73557,0.9831360707390958,3.2068899,1.0607591412907906,13.289096,3.3213581354941377,19.72217,1.0292679703878993,30951.453,0.9690554573013195
95,2021-12-29,242.85323,0.894702554501158,16.194098,0.9214048260405158,20.24119,0.9237467264596257,4.9448028,0.9686528498678063,1.0241817,0.9623737284755238,497.16196,1.0932990353052874,3.12552,0.9746265376931087,12.519738,0.9421060695174449,17.46979,0.8857945144981512,29525.564,0.9539314357875217
94,2021-12-30,260.16757,1.0712954898726281,16.451385,1.0158877018034593,19.634789,0.970041237694029,5.01764,1.0147300515199515,0.9887388,0.9653939335178514,545.72986,1.0976902979463674,2.9987712,0.9594471319972357,12.20018,0.9744756639476001,17.486166,1.0009373896309,29836.707,1.0105380882817345
93,2021-12-31,260.9701,1.0030846657790593,17.82956,1.0837725820652793,19.98906,1.0180430255705828,5.5021,1.0965513667780074,1.0165128,1.0280903308335831,542.25104,0.9936253808798367,3.0896513,1.0303057799141193,12.379843,1.014726258137175,17.410496,0.9956725791119676,33833.305,1.133949031305633
92,2022-01-01,258.05835,0.9888425915459281,18.067444,1.0133421127610551,20.032785,1.0021874465332539,6.0822334,1.1054385416477344,0.9764183,0.9605568173858705,516.6925,0.9528658534246426,2.9732583,0.9623281112661484,11.718409,0.9465716972339633,16.959015,0.9740684584747041,35429.15,1.0471678720125037
91,2022-01-02,269.45602,1.044167026565891,19.83889,1.0980462980817873,22.060427,1.1012161813746815,6.078858,0.9994450393830662,1.0103537,1.0347549815483794,523.0166,1.0122395815693088,3.0712266,1.0329498113231534,8.516999,0.7268050637249477,18.56794,1.094871370772418,39446.727,1.113397498952134
90,2022-01-03,273.06503,1.0133936885136208,19.545803,0.9852266432244949,24.064173,1.0908298828485958,6.6507955,1.0940863399013432,1.0211945,1.0107297078241015,515.4819,0.9855937650927331,3.1019669,1.0100091279490742,8.44061,0.9910309957767988,18.791399,1.0120346683584716,39844.41,1.0100815208318805
89,2022-01-04,256.54712,0.9395092443730346,19.667318,1.006216935676677,24.028679,0.998525027226159,6.1779394,0.9289023245414777,1.0120523,0.9910475428530019,535.10394,1.0380654296494212,3.0761735,0.9916848242320059,8.288127,0.9819345995135422,18.546383,0.9869612688230397,36812.58,0.9239082722017969
88,2022-01-05,244.82808,0.9543201264547425,18.64992,0.9482696115454075,26.983078,1.1229530345800531,5.756034,0.9317077470847318,1.0574933,1.0448998534957137,512.4217,0.9576115249684015,3.221174,1.0471366455760704,8.182481,0.9872533323874019,18.190998,0.9808380426523059,34714.61,0.9430094277554032
87,2022-01-06,224.67415,0.9176812970146235,17.919773,0.9608498588733891,25.59949,0.9487238631560121,5.460695,0.9486905393540067,1.0104315,0.9554968338806497,485.35892,0.947186506738493,3.0871627,0.9583967522400217,7.77443,0.950131139931764,17.277723,0.9497952228899151,36448.758,1.0499544140060915
86,2022-01-07,222.13261,0.9886878842091981,18.401134,1.0268620032184559,25.391758,0.9918853070901021,5.407599,0.9902766955488267,1.0005027,0.9901737030169784,480.5911,0.99017671293648,3.18246,1.03086889460021,7.6977153,0.9901324341462975,17.119612,0.9908488520159745,36099.46,0.9904167379310976
85,2022-01-08,210.71982,0.9486217264543013,17.770733,0.9657411874724677,26.03902,1.025491027442842,5.006687,0.9258613665695256,1.0019423,1.0014388766766946,447.3119,0.9307536073805778,3.0397906,0.9551700885478529,7.396824,0.9609116097084027,15.766669,0.9209711645334018,35679.81,0.9883751723709994
84,2022-01-09,213.29074,1.0122006558281988,18.598001,1.0465522722107186,25.543468,0.9809688690280971,4.605847,0.9199390734831235,0.99846715,0.9965315866991541,464.86975,1.039251917957023,3.053665,1.004564261761978,1.1019584,0.14897723671673135,15.755089,0.9992655392207447,33199.72,0.9304903809745625
83,2022-01-10,209.79486,0.9836097900921531,17.300457,0.9302320717156646,27.901682,1.0923216064474879,4.52397,0.9822232479715458,1.0013477,1.0028849722296822,475.02832,1.021852508148788,3.0714414,1.0058213327264123,1.1214926,1.0177268034800588,15.156267,0.9619918364155227,32644.553,0.9832779613803971
